,asset,VaR,ES,VaR/ES,recession,sample size,t-statistic,p-value
0,sp500,0.013647121337882089,0.020034569136749017,0.7049056746637136,F,177,,
1,sp500,0.022252026244508387,0.030438256105889697,0.7345618875315612,T,55,1.74629431136259,0.08376314582576579
2,agg,0.003058012625831606,0.0040135460670896695,0.7750225166710362,F,73,,
3,agg,0.008042611625335944,0.01206445222831398,0.755653652562155,T,11,-0.4525673431092522,0.6588684901044314
4,gold,0.01347658638799429,0.0189798517037632,0.729822221524572,F,107,,
5,gold,0.020640677385065698,0.025893633094104387,0.8088019180796282,T,17,2.869340505225046,0.008561759375827843
6,oil,0.028953374112824986,0.03811006612859303,0.7695998284369813,F,107,,
7,oil,0.060647545050336926,0.17804393175343708,0.7277981411760658,T,17,-0.827921971119137,0.41892960173994254
8,GBPUSD,0.008009610069247915,0.010367798090163612,0.793266947991105,F,75,,
9,GBPUSD,0.014117747917062303,0.01791520099699884,0.7887843985707031,T,11,-0.1320972888058289,0.8969160307950401
10,tech_sec,0.01883177981586506,0.02408301527682983,0.7685749152841727,F,92,,
11,tech_sec,0.03623631897825195,0.046752677219524245,0.7885184542004154,T,15,0.7526528120096194,0.4586905611092814
12,energy_sec,0.02108282047165807,0.02650024000998799,0.7987639828440427,F,92,,
13,energy_sec,0.04936059859193194,0.06002981666993114,0.8279269610774715,T,15,1.4441044021765723,0.16212592329561837
14,russell_2k,0.015775158163197005,0.020486033222767444,0.7677941622877796,F,146,,
15,russell_2k,0.03339146790238045,0.041532130543433986,0.8131211628968287,T,19,1.6569416995091732,0.11042544961184814
