asset,VaR,ES,VaR/ES,volatility level,sample size,t-statistic,p-value
sp500,0.009551283793904141,0.013697510820308689,0.7089257408439497,Low,116,,
sp500,0.0218228706910363,0.03130441006786812,0.7149467438949569,High,116,-0.38515773227117944,0.7004793658170914
agg,0.002541923112199864,0.003222597163052194,0.7971913981289734,Low,42,,
agg,0.004879592353619245,0.006913065632400177,0.7477808374702968,High,42,2.0340091842281685,0.04529736070419041
gold,0.010505713528033419,0.013981349643413982,0.7580772822951255,Low,62,,
gold,0.018411806779410223,0.02587406801630274,0.7232228840029851,High,62,1.6224573059885836,0.10756134834127412
oil,0.023141075338704013,0.03013728084882764,0.7747270656775007,Low,62,,
oil,0.04345601007948956,0.08445181456355758,0.7530108382378238,High,62,0.9785063093213913,0.3300050647405842
GBPUSD,0.00670863647827537,0.00852198418304456,0.7936674499841224,Low,43,,
GBPUSD,0.010873130551521814,0.014144342973449813,0.7917197473091473,High,43,0.08611091050560667,0.9315873846289626
tech_sec,0.012157823907444989,0.01652273902300662,0.7412548881176607,Low,54,,
tech_sec,0.030557472391157272,0.03820188031167643,0.8020548124678575,High,53,-2.611065124226708,0.010553155199344869
energy_sec,0.01640236726261942,0.02087092071374907,0.7920302530898651,Low,54,,
energy_sec,0.033854728869624026,0.041725275706139854,0.8138784371879487,High,53,-1.265212063921244,0.2086184654287213
russell_2k,0.010522407403661891,0.014142945232321699,0.7499171291892257,Low,83,,
russell_2k,0.02517379472522017,0.03178301068983648,0.7963918056871933,High,82,-2.47766713725092,0.014358209998938117
